,start,end,speaker,text
0,0.16,0.6,spk_0,mm energy.
1,4.02,4.22,spk_1,This is Melanie. How may I help you?
2,6.42,7.22,spk_0,Melody melody? How you doing? I'm
3,10.03,10.03,spk_1,"doing alright, how are you?"
4,11.56,12.33,spk_0,"Melanie? I'm gonna tell you something, I don't know you but I need you so"
5,15.23,15.53,spk_1,bad. Right
6,15.73,16.11,spk_0,now. I need you so bad. Really
7,19.25,19.67,spk_1,not.
8,20.63,20.82,spk_0,"I paid, let me tell you what happened. Will be 100% honest. You do not pinky swear I was supposed to pay you guys some money on"
9,29.86,31.41,spk_1,uh
10,31.66,31.99,spk_0,two days ago I woke up this morning and I totally
11,34.58,35.18,spk_1,forgot
12,35.43,35.92,spk_0,because I I'm not gonna lie. I wasn't feeling well. Monday and Tuesday. So I slipped my
13,41.0,41.5,spk_1,mind.
14,42.07,42.71,spk_0,So
15,42.97,43.15,spk_1,I
16,100.48,100.24,spk_0,"Went paid the bill, I paid $410 at one of these. Um I went to the little kissing the new little kiss. It was my first time using the new little kissing. That's all I have. It wouldn't for whatever reason wouldn't find my address, I didn't think nothing of it. So I went to Spartan, a little Spartan grocery store on Grand River, Gave the guy um pay the extra $2.25 and pay the bill. Alright. My son just came home from school for thanksgiving break and he's like dad the power's off. I'm like, you gotta be joking. He's like, no, so I don't know if this happened before. I clearly must have happened after I left work or I don't know when y'all just cut it off. But um I told him to go in the fridge, feed the stuff looks like, you know when they're melted and stuff. But this happened, it must have just happened so I'm like okay it might just happen so that's how I get on the phone with you to see if there's anything you can do for us please. I just paid you guys $410 and I think that there was like six."
17,114.77,115.38,spk_1,"Okay let me um look into your account uh to better assist, may I have the um account number or your phone number?"
18,122.76,123.11,spk_0,Um the number is gonna be on the account is (313) 848 3978
19,131.49,131.71,spk_1,one moment
20,137.35,137.59,spk_0,it's underneath Monique johnson.
21,143.32,144.16,spk_1,Alrighty. And may I have your name in relation to the account holder?
22,148.37,149.1,spk_0,Michael johnson And it's 62 57 is the um last four.
23,157.55,157.94,spk_1,Alright and can you verify the street address?
24,160.14,161.0,spk_0,37 30
25,161.44,161.97,spk_1,nine
26,161.98,163.21,spk_0,Columbus Detroit? Michigan. 4 8 206.
27,167.55,167.76,spk_1,"Thank you. One moment. Okay I'm gonna place you, do you mind if I place you on a 1-2 minute hold"
28,175.31,175.46,spk_0,No no no no whatever you can do for me I appreciate it
29,179.19,179.27,spk_1,"one moment, not that I'm happy with your approval through your medical pharmacy, where you want to get it from as the provider. But we looked at the authorization, there's no authorization submitting yet. You do have a right to start the authorization yourself, I can get a pharmacy on the line, authorization department on the line and they can get it started for you what they would do take as much information that you have and what information you don't have the contact your doctor. Alrighty, thank you for your patience. So um right now the only option to restore would be to um pay the past due amount. Um There are also options uh with outside sources that can assist you and I'm getting your bill paid and I can um connect you with those resources uh if you'd like um But um if you don't mind, I would like to place you on another brief hold just to do a little bit more um researching. Okay right but you so right now the only way we have it would it could be restored um you know immediately would be for you to pay the full uh past due amount. Um I'm trying to see what that is. Okay so Alright and you're also saying that you paid for attendant when this was at a kiss. When was this? Okay. No. Okay we're uh what kind of payment did you use? I'm sorry where did you pay at? Sure I can. Okay you're welcome. You have a good day after the call. You're welcome. Bye now."
30,749.69,750.05,spk_0,Thank you for
31,750.27,750.56,spk_1,"holding. So while that that uh payment is being located. Um I would like to text um send over um via either text or email to you some of the outside sources and their phone numbers um just in case so you can get started on that if need be, It has to be the entire uh past due amount, which I think is like 6091 moment. That's the uh total past due. 609 50. Okay, so that payment has not been located yet. That's why I said um that we're in the process of located that payment. But in the meantime while we're waiting, I wanted to give you these outside sources and just send them to your phone. Mhm."
32,835.62,835.93,spk_0,I'm
33,835.93,836.13,spk_1,"sorry, can you repeat that? I'm sorry, can you repeat that? No, not at this point because the services have already been shut off, so once the services that have been shut off, there's not many choices as far as like um But you will always, you have to pay the full amount in order to restore. Now if you contact these outside sources, they can help to just to pay that down payment. Excuse me to pay that um amount. My name is Lauren L O R. N. A. Factor. I am calling for services for my mother. Her name is Iris I R I S faxed er T H A. X."
34,906.46,906.84,spk_0,T E. R.
35,908.12,908.39,spk_1,The return number is um 718-877-9811. That's my cell number. I'm not gonna give you my mom's number because that will do later
